code;preparation;categorie;ingredients;ustensiles;portion_nutrition;calories;proteines;glucides;lipides;fibres
P01;P01 — Poulet grillé neutre;Préparation — Protéine de base;800 g de blancs de poulet ou dinde | 2 cuillères à soupe d’huile d’olive | 1 cuillère à café de sel | 1/2 cuillère à café de poivre | 1 gousse d’ail râpée, facultatif;Planche à découper | Couteau de chef | Saladier | Poêle antiadhésive ou grill | Pince de cuisine | Boîte hermétique;1 portion de poulet, environ 130 g cuit — estimation sur 1/6 de la préparation;205 kcal;31 g;0 g;7 g;0 g
P02;P02 — Bœuf haché nature / steak maison;Préparation — Protéine de base;600 g de bœuf haché 5 à 10 % MG | 1 cuillère à soupe d’huile d’olive | 1 cuillère à café de sel | 1/2 cuillère à café de poivre | 1/2 oignon finement haché, facultatif;Saladier | Balance de cuisine | Planche à découper | Couteau | Poêle antiadhésive | Spatule | Boîte hermétique;1 portion de bœuf, environ 150 g cru avant cuisson — estimation sur 1/4 de la préparation;240 kcal;31 g;1 g;12 g;0 g
P03;P03 — Œufs durs / œufs mollets;Préparation — Protéine de base;6 œufs | 1 pincée de sel | Eau froide;Casserole | Minuteur | Écumoire ou cuillère | Bol d’eau froide | Boîte hermétique;1 œuf;78 kcal;6 g;1 g;5 g;0 g
P04;P04 — Mix Spicy Chicken;Préparation — Mélange d’épices;2 cuillères à soupe de paprika fumé | 1 cuillère à soupe de paprika doux | 1 cuillère à café de cumin | 1 cuillère à café d’ail semoule | 1/2 cuillère à café de piment doux | 1/2 cuillère à café de poivre;Cuillères doseuses | Petit bol | Petit fouet ou cuillère | Pot à épices | Étiquette;1 cuillère à café de mix;8 kcal;0 g;2 g;0 g;1 g
P05;P05 — Mix Curry Curcuma;Préparation — Mélange d’épices superfood;2 cuillères à soupe de curry doux | 1 cuillère à soupe de curcuma | 1 cuillère à café de gingembre moulu | 1 cuillère à café d’ail semoule | 1/2 cuillère à café de poivre noir | 1 pincée de piment doux;Cuillères doseuses | Petit bol | Petit fouet ou cuillère | Pot à épices | Étiquette;1 cuillère à café de mix;7 kcal;0 g;1 g;0 g;1 g
P06;P06 — Mix Oriental Kefta;Préparation — Mélange d’épices;2 cuillères à café de cumin | 2 cuillères à café de paprika | 1 cuillère à café de coriandre moulue | 1 cuillère à café d’ail semoule | 1 pincée de cannelle | 1/2 cuillère à café de poivre;Cuillères doseuses | Petit bol | Petit fouet ou cuillère | Pot à épices | Étiquette;1 cuillère à café de mix;7 kcal;0 g;1 g;0 g;1 g
P07;P07 — Mix Tomate épicée;Préparation — Mélange d’épices;2 cuillères à soupe de paprika doux | 1 cuillère à café de paprika fumé | 1 cuillère à café d’ail semoule | 1 cuillère à café d’herbes de Provence | 1/2 cuillère à café de piment doux | 1/2 cuillère à café de poivre;Cuillères doseuses | Petit bol | Petit fouet ou cuillère | Pot à épices | Étiquette;1 cuillère à café de mix;7 kcal;0 g;1 g;0 g;1 g
P08;P08 — Mix Citron-Herbes;Préparation — Mélange d’épices;1 cuillère à soupe de thym | 1 cuillère à soupe d’origan | 1 cuillère à soupe de persil séché | 1 cuillère à café d’ail semoule | 1 cuillère à café de zestes de citron séchés ou zeste frais au moment | 1/2 cuillère à café de poivre;Cuillères doseuses | Petit bol | Petit fouet ou cuillère | Pot à épices | Étiquette | Râpe fine si zeste frais;1 cuillère à café de mix;5 kcal;0 g;1 g;0 g;1 g
P09;P09 — Sauce tomate épicée maison;Préparation — Sauce chaude signature;800 g de tomates concassées | 1 oignon | 2 gousses d’ail | 2 cuillères à soupe d’huile d’olive | 2 cuillères à café de P07 — Mix Tomate épicée | 1/2 cuillère à café de curcuma | Sel | Poivre | Basilic ou persil;Planche à découper | Couteau | Sauteuse ou casserole | Spatule | Mixeur plongeant facultatif | Bocal ou boîte hermétique;1 portion de sauce — estimation sur 1/6 du grand pot;85 kcal;2 g;10 g;5 g;3 g
P10;P10 — Crème vin blanc;Préparation — Sauce chaude bistrot;1 échalote | 120 ml de vin blanc sec | 200 ml de crème légère | 1 cuillère à café de moutarde douce | 1 filet d’huile d’olive | Poivre | Sel | Persil ou estragon;Petite casserole | Couteau | Planche à découper | Verre doseur | Fouet | Spatule;1 portion de sauce — estimation sur 1/4 de la préparation;120 kcal;2 g;4 g;9 g;0 g
P11;P11 — Crème curry-curcuma;Préparation — Sauce chaude superfood;200 ml de crème légère ou 150 g de yaourt grec | 1 cuillère à café de P05 — Mix Curry Curcuma | 1 petite gousse d’ail râpée | 1 cuillère à café de jus de citron | Sel | Poivre | Coriandre fraîche, facultatif;Bol ou petite casserole | Fouet | Râpe fine ou presse-ail | Cuillère doseuse | Boîte hermétique;1 portion de sauce — estimation sur 1/4 de la préparation;90 kcal;3 g;3 g;6 g;0 g
